City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
265,Kisanga,TZ,68.27,clear sky,-7.4362,37.7034,
266,Pontes E Lacerda,BR,72.19,overcast clouds,-15.2261,-59.3353,Hotel Bressan
269,Sembe,CG,70.47,overcast clouds,1.6481,14.5806,
271,Richards Bay,ZA,69.87,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
272,Idah,NG,76.32,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
275,Lima,PE,66.9,few clouds,-12.0432,-77.0282,Hotel Kamana
277,Inhambane,MZ,69.53,clear sky,-23.865,35.3833,Oceano
281,Sambava,MG,74.21,light rain,-14.2667,50.1667,Melrose
287,Conceicao Do Araguaia,BR,78.91,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
291,Uaua,BR,71.37,few clouds,-9.8414,-39.4817,Hotel Uauá
293,Soure,BR,77.52,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
